지역명,직역구분,보험료,성별,연령,비표준화지표분자,비표준화지표분모,비표준화지표지표값,표준화지표지표값
충청북도 청주시 흥덕구 오송읍,전체,전체,전체,전체,64,"16,224",0.39,0.41
충청북도 청주시 흥덕구 강내면,전체,전체,전체,전체,51,"9,049",0.56,0.53
충청북도 청주시 흥덕구 옥산면,전체,전체,전체,전체,60,"13,457",0.45,0.46
충청북도 청주시 흥덕구 운천.신봉동,전체,전체,전체,전체,88,"14,830",0.59,0.58
충청북도 청주시 흥덕구 복대1동,전체,전체,전체,전체,136,"37,825",0.36,0.45
충청북도 청주시 흥덕구 복대2동,전체,전체,전체,전체,72,"14,889",0.48,0.52
충청북도 청주시 흥덕구 가경동,전체,전체,전체,전체,164,"38,680",0.42,0.46
충청북도 청주시 흥덕구 봉명1동,전체,전체,전체,전체,43,"9,944",0.43,0.46
충청북도 청주시 흥덕구 봉명2.송정동,전체,전체,전체,전체,89,"20,335",0.44,0.50
충청북도 청주시 흥덕구 강서제1동,전체,전체,전체,전체,103,"22,691",0.45,0.54
충청북도 청주시 흥덕구 강서제2동,전체,전체,전체,전체,30,"9,142",0.33,0.44
충청북도 청주시 청원구 내수읍,전체,전체,전체,전체,85,"15,055",0.56,0.52
충청북도 청주시 청원구 오창읍,전체,전체,전체,전체,152,"50,009",0.30,0.39
충청북도 청주시 청원구 북이면,전체,전체,전체,전체,33,"4,775",0.69,0.58
충청북도 청주시 청원구 우암동,전체,전체,전체,전체,52,"11,405",0.46,0.46
충청북도 청주시 청원구 내덕1동,전체,전체,전체,전체,48,"7,866",0.61,0.54
충청북도 청주시 청원구 내덕2동,전체,전체,전체,전체,51,"10,018",0.51,0.51
충청북도 청주시 청원구 율량.사천동,전체,전체,전체,전체,176,"37,737",0.47,0.53
충청북도 청주시 청원구 오근장동,전체,전체,전체,전체,61,"13,208",0.46,0.52
충청북도 청주시 상당구 낭성면,전체,전체,전체,전체,26,"2,121",1.23,0.74
충청북도 청주시 상당구 미원면,전체,전체,전체,전체,57,"4,705",1.21,0.84
충청북도 청주시 상당구 가덕면,전체,전체,전체,전체,49,"3,726",1.32,1.00
충청북도 청주시 상당구 남일면,전체,전체,전체,전체,70,"5,528",1.27,0.95
충청북도 청주시 상당구 문의면,전체,전체,전체,전체,40,"3,765",1.06,0.81
충청북도 청주시 상당구 중앙동,전체,전체,전체,전체,40,"5,096",0.78,0.68
충청북도 청주시 상당구 성안동,전체,전체,전체,전체,66,"6,288",1.05,0.87
충청북도 청주시 상당구 탑대성동,전체,전체,전체,전체,48,"7,939",0.60,0.51
충청북도 청주시 상당구 영운동,전체,전체,전체,전체,77,"9,381",0.82,0.76
충청북도 청주시 상당구 금천동,전체,전체,전체,전체,125,"23,534",0.53,0.56
충청북도 청주시 상당구 용담.명암.산성동,전체,전체,전체,전체,52,"9,928",0.52,0.59
충청북도 청주시 상당구 용암1동,전체,전체,전체,전체,188,"32,950",0.57,0.64
충청북도 청주시 상당구 용암2동,전체,전체,전체,전체,103,"24,819",0.42,0.52
충청북도 청주시 서원구 남이면,전체,전체,전체,전체,53,"8,792",0.60,0.53
충청북도 청주시 서원구 현도면,전체,전체,전체,전체,30,"3,306",0.91,0.75
충청북도 청주시 서원구 사직1동,전체,전체,전체,전체,41,"7,139",0.57,0.49
충청북도 청주시 서원구 사직2동,전체,전체,전체,전체,65,"11,476",0.57,0.56
충청북도 청주시 서원구 사창동,전체,전체,전체,전체,53,"14,171",0.37,0.43
충청북도 청주시 서원구 모충동,전체,전체,전체,전체,72,"13,209",0.55,0.52
충청북도 청주시 서원구 산남동,전체,전체,전체,전체,72,"20,194",0.36,0.44
충청북도 청주시 서원구 분평동,전체,전체,전체,전체,99,"24,069",0.41,0.50
충청북도 청주시 서원구 수곡1동,전체,전체,전체,전체,78,"12,348",0.63,0.58
충청북도 청주시 서원구 수곡2동,전체,전체,전체,전체,101,"11,831",0.85,0.79
충청북도 청주시 서원구 성화.개신.죽림동,전체,전체,전체,전체,138,"35,601",0.39,0.45
